"Date","Time","Open","High","Low","Close","Up","Down"
11/19/2025,18:00:30,6807.00,6811.75,6803.50,6811.50,577,513
11/19/2025,18:01:00,6812.00,6814.50,6809.00,6811.00,300,300
11/19/2025,18:01:30,6811.00,6816.25,6810.25,6815.75,362,242
11/19/2025,18:02:00,6815.75,6822.00,6813.75,6820.00,466,302
11/19/2025,18:02:30,6819.75,6820.50,6817.75,6818.75,155,209
11/19/2025,18:03:00,6818.50,6820.00,6817.50,6819.00,222,154
11/19/2025,18:03:30,6819.00,6820.50,6818.25,6818.50,120,137
11/19/2025,18:04:00,6818.50,6819.50,6816.25,6819.50,194,153
11/19/2025,18:04:30,6819.50,6821.75,6819.00,6821.25,266,131
11/19/2025,18:05:00,6821.00,6822.00,6820.25,6821.25,92,113
11/19/2025,18:05:30,6821.25,6821.50,6820.00,6821.25,130,102
11/19/2025,18:06:00,6821.25,6822.25,6821.00,6821.75,78,42
11/19/2025,18:06:30,6821.75,6821.75,6819.50,6820.00,60,84
11/19/2025,18:07:00,6820.25,6821.25,6820.25,6820.75,33,48
11/19/2025,18:07:30,6821.00,6821.00,6819.25,6820.25,30,49
11/19/2025,18:08:00,6820.25,6821.50,6820.25,6820.75,84,76
11/19/2025,18:08:30,6820.50,6820.50,6818.75,6819.25,53,78
11/19/2025,18:09:00,6819.00,6821.00,6818.75,6819.75,77,118
11/19/2025,18:09:30,6819.75,6827.00,6819.75,6827.00,586,423
11/19/2025,18:10:00,6826.75,6828.50,6826.75,6827.75,255,176
11/19/2025,18:10:30,6827.50,6827.50,6824.75,6826.00,166,183
11/19/2025,18:11:00,6825.75,6826.75,6825.50,6825.50,116,118
11/19/2025,18:11:30,6825.75,6829.00,6825.75,6828.75,187,78
11/19/2025,18:12:00,6828.50,6830.00,6825.75,6826.75,188,375
11/19/2025,18:12:30,6826.75,6827.00,6825.00,6825.00,98,170
11/19/2025,18:13:00,6825.00,6826.00,6824.00,6826.00,65,81
11/19/2025,18:13:30,6826.00,6829.25,6825.75,6828.50,163,115
11/19/2025,18:14:00,6828.50,6830.25,6828.25,6830.00,143,84
11/19/2025,18:14:30,6830.00,6831.75,6829.75,6831.00,239,85
11/19/2025,18:15:00,6831.00,6832.50,6829.75,6831.75,163,101
11/19/2025,18:15:30,6832.00,6833.00,6831.50,6833.00,134,109
11/19/2025,18:16:00,6833.25,6833.50,6830.25,6831.50,235,180
11/19/2025,18:16:30,6831.75,6834.75,6831.25,6833.25,293,169
11/19/2025,18:17:00,6833.00,6833.25,6831.75,6832.00,59,130
11/19/2025,18:17:30,6832.00,6832.25,6830.25,6830.25,55,131
11/19/2025,18:18:00,6830.25,6831.25,6829.00,6829.50,31,117
11/19/2025,18:18:30,6829.50,6831.00,6829.25,6830.00,75,40
11/19/2025,18:19:00,6829.75,6830.00,6828.25,6828.75,58,159
11/19/2025,18:19:30,6828.75,6829.75,6827.75,6828.50,111,162
11/19/2025,18:20:00,6828.75,6829.00,6827.00,6827.25,61,110
11/19/2025,18:20:30,6827.25,6828.75,6826.25,6827.50,146,134
11/19/2025,18:21:00,6827.25,6827.75,6825.75,6826.00,45,98
11/19/2025,18:21:30,6825.75,6827.00,6825.50,6826.25,46,72
11/19/2025,18:22:00,6826.50,6826.50,6825.50,6825.75,36,60
11/19/2025,18:22:30,6825.50,6827.50,6825.25,6827.25,54,56
11/19/2025,18:23:00,6827.50,6828.75,6827.50,6828.25,106,79
11/19/2025,18:23:30,6828.50,6828.75,6826.50,6827.50,73,110
11/19/2025,18:24:00,6827.50,6827.75,6826.75,6827.75,62,46
11/19/2025,18:24:30,6827.75,6828.00,6827.00,6827.25,47,69
11/19/2025,18:25:00,6827.25,6828.25,6826.75,6827.25,81,72
11/19/2025,18:25:30,6827.25,6828.25,6826.75,6827.25,67,66
11/19/2025,18:26:00,6827.25,6828.00,6826.00,6827.25,52,109
11/19/2025,18:26:30,6827.00,6828.75,6827.00,6828.00,76,65
11/19/2025,18:27:00,6827.75,6830.25,6827.25,6830.00,108,103
11/19/2025,18:27:30,6829.75,6830.75,6828.25,6829.50,132,101
11/19/2025,18:28:00,6829.50,6830.00,6828.50,6829.25,85,84
11/19/2025,18:28:30,6829.50,6830.00,6828.50,6828.50,83,144
11/19/2025,18:29:00,6828.25,6828.75,6827.75,6828.75,84,107
11/19/2025,18:29:30,6828.75,6829.00,6827.50,6828.75,68,66
11/19/2025,18:30:00,6828.50,6830.00,6828.50,6829.75,167,81
11/19/2025,18:30:30,6829.75,6831.25,6829.75,6830.50,91,78
11/19/2025,18:31:00,6830.75,6830.75,6828.00,6829.75,82,86
11/19/2025,18:31:30,6829.75,6830.00,6828.50,6829.75,39,60
11/19/2025,18:32:00,6829.75,6831.00,6829.75,6830.50,60,46
11/19/2025,18:32:30,6830.25,6830.25,6829.25,6829.75,43,58
11/19/2025,18:33:00,6829.50,6831.00,6829.50,6830.50,87,89
11/19/2025,18:33:30,6830.25,6831.25,6829.75,6829.75,64,52
11/19/2025,18:34:00,6830.00,6831.25,6830.00,6830.75,36,23
11/19/2025,18:34:30,6831.00,6832.00,6830.75,6831.00,90,42
11/19/2025,18:35:00,6831.00,6832.50,6831.00,6831.00,78,45
11/19/2025,18:35:30,6831.25,6832.25,6830.00,6832.25,62,55
11/19/2025,18:36:00,6832.50,6833.00,6832.00,6832.75,53,34
11/19/2025,18:36:30,6833.00,6833.00,6832.00,6832.25,43,59
11/19/2025,18:37:00,6832.25,6832.50,6831.50,6832.00,32,55
11/19/2025,18:37:30,6832.25,6835.00,6832.25,6835.00,291,120
11/19/2025,18:38:00,6835.00,6835.25,6834.25,6834.75,86,105
11/19/2025,18:38:30,6834.75,6836.00,6834.75,6835.00,95,118
11/19/2025,18:39:00,6835.00,6836.50,6835.00,6835.75,156,78
11/19/2025,18:39:30,6835.75,6836.50,6835.25,6836.00,114,119
11/19/2025,18:40:00,6836.25,6836.25,6835.75,6836.25,13,16
11/19/2025,18:40:30,6836.00,6836.50,6835.75,6836.25,99,125
11/19/2025,18:41:00,6836.25,6838.00,6836.25,6837.50,248,177
11/19/2025,18:41:30,6837.25,6837.25,6833.50,6834.25,94,234
11/19/2025,18:42:00,6834.00,6834.50,6833.50,6833.75,36,60
11/19/2025,18:42:30,6834.00,6835.25,6834.00,6835.00,67,30
11/19/2025,18:43:00,6835.25,6835.25,6833.50,6834.25,47,112
11/19/2025,18:43:30,6834.50,6834.75,6832.75,6833.50,69,59
11/19/2025,18:44:00,6833.50,6834.25,6833.25,6834.00,69,26
11/19/2025,18:44:30,6833.75,6835.00,6833.50,6834.00,50,111
11/19/2025,18:45:00,6833.75,6835.25,6833.75,6835.25,39,39
11/19/2025,18:45:30,6835.25,6837.00,6834.50,6836.50,156,186
11/19/2025,18:46:00,6836.25,6837.25,6836.25,6837.00,68,50
11/19/2025,18:46:30,6837.00,6839.00,6836.75,6838.25,123,65
11/19/2025,18:47:00,6838.50,6839.00,6836.75,6837.25,41,89
11/19/2025,18:47:30,6837.50,6838.50,6837.25,6838.25,100,51
11/19/2025,18:48:00,6838.25,6838.25,6837.50,6838.00,42,50
11/19/2025,18:48:30,6838.00,6838.50,6838.00,6838.00,61,47
11/19/2025,18:49:00,6837.75,6838.25,6837.00,6838.00,57,101
11/19/2025,18:49:30,6838.25,6838.75,6838.25,6838.25,44,76
11/19/2025,18:50:00,6838.00,6838.50,6837.50,6838.00,18,38
11/19/2025,18:50:30,6838.00,6838.25,6837.75,6837.75,17,27
11/19/2025,18:51:00,6837.50,6837.50,6836.00,6836.25,31,59
11/19/2025,18:51:30,6836.50,6837.75,6836.50,6837.00,63,67
11/19/2025,18:52:00,6837.50,6839.00,6837.50,6838.75,89,40
11/19/2025,18:52:30,6838.50,6839.00,6838.25,6838.75,36,41
11/19/2025,18:53:00,6838.75,6838.75,6838.00,6838.75,38,26
11/19/2025,18:53:30,6838.75,6839.25,6838.00,6838.50,111,48
11/19/2025,18:54:00,6838.50,6840.25,6838.50,6838.50,150,77
11/19/2025,18:54:30,6838.50,6838.50,6837.50,6838.25,60,146
11/19/2025,18:55:00,6838.00,6839.25,6838.00,6838.75,58,23
11/19/2025,18:55:30,6839.00,6841.00,6838.50,6839.75,152,94
11/19/2025,18:56:00,6840.00,6840.50,6839.00,6839.75,57,43
11/19/2025,18:56:30,6839.75,6841.00,6839.50,6839.50,92,46
11/19/2025,18:57:00,6839.75,6841.75,6839.00,6841.00,291,56
11/19/2025,18:57:30,6840.75,6841.00,6840.25,6840.75,22,45
11/19/2025,18:58:00,6841.00,6841.25,6839.75,6840.00,27,47
11/19/2025,18:58:30,6840.00,6840.00,6839.00,6839.75,36,67
11/19/2025,18:59:00,6839.75,6839.75,6838.75,6839.25,70,54
11/19/2025,18:59:30,6839.50,6842.00,6839.50,6842.00,165,50
11/19/2025,19:00:00,6841.75,6842.25,6841.50,6841.50,94,90
11/19/2025,19:00:30,6841.25,6842.25,6840.50,6842.00,133,120
11/19/2025,19:01:00,6842.00,6842.25,6841.50,6842.00,62,44
11/19/2025,19:01:30,6841.75,6842.00,6841.00,6841.50,73,67
11/19/2025,19:02:00,6841.50,6842.00,6841.00,6842.00,108,19
11/19/2025,19:02:30,6841.75,6842.25,6839.50,6840.25,59,71
11/19/2025,19:03:00,6840.00,6840.50,6839.50,6840.25,48,46
11/19/2025,19:03:30,6840.25,6841.75,6840.00,6841.50,93,66
11/19/2025,19:04:00,6841.25,6842.25,6841.00,6841.50,32,46
11/19/2025,19:04:30,6841.25,6841.25,6839.75,6840.25,49,41
11/19/2025,19:05:00,6840.50,6840.50,6838.00,6838.75,46,152
11/19/2025,19:05:30,6839.00,6839.75,6838.00,6838.75,110,64
11/19/2025,19:06:00,6839.00,6839.00,6837.75,6838.00,20,76
11/19/2025,19:06:30,6838.25,6839.50,6838.25,6838.75,33,37
11/19/2025,19:07:00,6838.75,6840.00,6838.25,6839.50,67,33
11/19/2025,19:07:30,6839.75,6840.00,6839.00,6839.00,35,79
11/19/2025,19:08:00,6839.00,6839.25,6838.50,6838.75,41,84
11/19/2025,19:08:30,6838.50,6839.25,6838.50,6839.00,34,31
11/19/2025,19:09:00,6838.75,6840.25,6838.75,6839.50,62,20
11/19/2025,19:09:30,6839.50,6839.50,6838.50,6838.75,26,67
11/19/2025,19:10:00,6838.50,6839.00,6838.00,6838.00,18,27
11/19/2025,19:10:30,6838.25,6838.50,6837.75,6838.00,75,130
11/19/2025,19:11:00,6838.00,6839.00,6837.50,6838.25,62,104
11/19/2025,19:11:30,6838.25,6838.50,6837.50,6838.00,79,105
11/19/2025,19:12:00,6838.00,6840.25,6837.75,6840.00,91,46
11/19/2025,19:12:30,6839.75,6841.25,6839.00,6841.00,102,64
11/19/2025,19:13:00,6840.75,6841.25,6840.50,6840.50,31,46
11/19/2025,19:13:30,6840.50,6840.50,6838.50,6839.75,51,75
11/19/2025,19:14:00,6839.25,6840.50,6839.00,6839.75,61,61
11/19/2025,19:14:30,6840.00,6840.00,6839.50,6839.75,22,27
11/19/2025,19:15:00,6840.00,6840.75,6839.75,6840.75,26,6
11/19/2025,19:15:30,6840.50,6841.25,6840.25,6841.00,105,71
11/19/2025,19:16:00,6841.00,6841.25,6840.75,6841.25,23,43
11/19/2025,19:16:30,6841.00,6841.25,6840.25,6841.25,62,41
11/19/2025,19:17:00,6841.50,6841.50,6841.00,6841.25,48,25
11/19/2025,19:17:30,6841.50,6843.75,6841.25,6843.25,200,92
11/19/2025,19:18:00,6843.25,6843.75,6842.75,6843.50,115,65
11/19/2025,19:18:30,6843.50,6845.75,6843.25,6845.00,413,184
11/19/2025,19:19:00,6845.00,6846.25,6845.00,6845.75,126,125
11/19/2025,19:19:30,6845.75,6846.25,6845.25,6845.75,61,61
11/19/2025,19:20:00,6845.75,6846.50,6845.75,6846.25,41,28
11/19/2025,19:20:30,6846.00,6846.25,6845.25,6845.75,33,65
11/19/2025,19:21:00,6845.75,6846.50,6845.75,6846.50,61,8
11/19/2025,19:21:30,6846.25,6847.25,6846.25,6846.50,124,138
11/19/2025,19:22:00,6846.25,6848.25,6846.25,6847.75,324,93
11/19/2025,19:22:30,6847.75,6850.25,6847.25,6848.00,339,288
11/19/2025,19:23:00,6848.00,6848.50,6847.75,6848.25,51,41
11/19/2025,19:23:30,6848.25,6849.50,6847.75,6849.00,86,47
11/19/2025,19:24:00,6849.25,6849.50,6848.25,6848.25,44,66
11/19/2025,19:24:30,6848.50,6848.75,6848.00,6848.00,52,37
11/19/2025,19:25:00,6848.00,6848.25,6847.00,6848.25,94,102
11/19/2025,19:25:30,6848.00,6849.00,6848.00,6849.00,93,42
11/19/2025,19:26:00,6848.75,6849.25,6848.50,6848.50,25,40
