fold,acc,f1,auc,train_n,val_n
1,0.4098360655737705,0.2653061224489796,0.5338534000588755,102,122
2,0.5819672131147541,0.7301587301587301,0.5209187858900739,224,122
3,0.5081967213114754,0.6590909090909091,0.542478354978355,346,122
4,0.5327868852459017,0.632258064516129,0.551681706316653,468,122
5,0.5081967213114754,0.6590909090909091,0.5245590230664858,590,122
6,0.5327868852459017,0.6918918918918919,0.4549902152641879,712,122
7,0.639344262295082,0.6857142857142857,0.6974219810040706,834,122
8,0.5983606557377049,0.7167630057803468,0.5346589339961337,956,122
9,0.5,0.6390532544378699,0.4526143790849673,1078,122
10,0.5573770491803278,0.6493506493506493,0.5148420479302832,1200,122
11,0.5409836065573771,0.6744186046511628,0.5809337433603579,1322,122
12,0.5081967213114754,0.6341463414634146,0.5499058380414312,1444,122
13,0.5573770491803278,0.6301369863013698,0.5649245689655172,1566,122
14,0.5245901639344263,0.5671641791044776,0.557142857142857,1688,122
15,0.4918032786885246,0.5921052631578947,0.5669948044845502,1810,122
16,0.4262295081967213,0.47761194029850745,0.44318488529014843,1932,122
17,0.4016393442622951,0.12048192771084337,0.45590659340659345,2054,122
18,0.4918032786885246,0.5230769230769231,0.5436906377204885,2176,122
19,0.5245901639344263,0.4727272727272727,0.570669934640523,2298,122
20,0.5409836065573771,0.5882352941176471,0.609645390070922,2420,122
21,0.5573770491803278,0.5714285714285714,0.5729642569201827,2542,122
