fold,acc,f1,auc,train_n,val_n
1,0.573394495412844,0.7190332326283988,0.5836538461538461,416,436
2,0.5045871559633027,0.5221238938053098,0.531275051457047,852,436
3,0.5298165137614679,0.5924453280318092,0.5138150102293528,1288,436
4,0.46788990825688076,0.4528301886792453,0.46279569892473116,1724,436
5,0.5252293577981652,0.5766871165644172,0.4823350694444445,2160,436
6,0.4541284403669725,0.41379310344827586,0.4790543431750107,2596,436
7,0.5022935779816514,0.5702970297029702,0.490217744556386,3032,436
8,0.48623853211009177,0.3672316384180791,0.5328694456972274,3468,436
9,0.5137614678899083,0.596958174904943,0.5077960387694901,3904,436
10,0.5298165137614679,0.5610278372591007,0.5109636406588922,4340,436
11,0.5275229357798165,0.5209302325581395,0.5332739156268569,4776,436
12,0.5206422018348624,0.46547314578005117,0.5551571038251366,5212,436
13,0.555045871559633,0.5818965517241379,0.5568239795918367,5648,436
14,0.4701834862385321,0.4122137404580153,0.5141461073664463,6084,436
15,0.4793577981651376,0.49443207126948774,0.4881231829439001,6520,436
16,0.555045871559633,0.5446009389671361,0.5761693788872795,6956,436
17,0.5871559633027523,0.7239263803680982,0.5301067073170732,7392,436
18,0.5114678899082569,0.5496828752642706,0.5555273833671399,7828,436
19,0.4793577981651376,0.4781609195402299,0.506,8264,436
20,0.5091743119266054,0.5596707818930041,0.5336724806201552,8700,436
21,0.5206422018348624,0.5909980430528375,0.5170673076923078,9136,436
22,0.5642201834862385,0.6481481481481481,0.553701326486949,9572,436
23,0.5458715596330275,0.648936170212766,0.527676160613187,10008,436
