fold,acc,f1,auc,train_n,val_n
1,0.5596330275229358,0.6431226765799256,0.5449519230769231,416,436
2,0.5321100917431193,0.6577181208053692,0.49244935543278084,852,436
3,0.5596330275229358,0.6942675159235668,0.49286098847851834,1288,436
4,0.5642201834862385,0.7181008902077152,0.487247311827957,1724,436
5,0.5871559633027523,0.7360703812316716,0.5091796875,2160,436
6,0.5527522935779816,0.7013782542113323,0.5379867351305091,2596,436
7,0.5802752293577982,0.7296898079763663,0.5117430397573394,3032,436
8,0.555045871559633,0.6510791366906474,0.5391619955758864,3468,436
9,0.5596330275229358,0.6521739130434783,0.5735988200589971,3904,436
10,0.5435779816513762,0.6150870406189555,0.5619053755127461,4340,436
11,0.5091743119266054,0.5900383141762452,0.49505559799677445,4776,436
12,0.49770642201834864,0.512249443207127,0.5206839139344261,5212,436
13,0.5160550458715596,0.5422993492407809,0.5329719387755103,5648,436
14,0.4151376146788991,0.18006430868167203,0.47472896625439,6084,436
15,0.48394495412844035,0.5360824742268041,0.48470980941100467,6520,436
16,0.46559633027522934,0.31268436578171094,0.4589652381358098,6956,436
17,0.3967889908256881,0.27945205479452057,0.4875246592539454,7392,436
18,0.5688073394495413,0.57847533632287,0.5744379648411089,7828,436
19,0.4793577981651376,0.2508250825082508,0.5588172043010752,8264,436
20,0.5206422018348624,0.5828343313373253,0.5153056730091614,8700,436
21,0.4518348623853211,0.33053221288515405,0.5063701923076923,9136,436
22,0.5504587155963303,0.6462093862815884,0.5205926401369277,9572,436
23,0.5321100917431193,0.6150943396226415,0.5335772145283512,10008,436
