fold,acc,f1,auc,train_n,val_n
1,0.5240825688073395,0.5394006659267481,0.5246496576807873,852,872
2,0.5275229357798165,0.6730158730158731,0.4974634389923876,1724,872
3,0.4793577981651376,0.18050541516245489,0.5221961629479378,2596,872
4,0.5298165137614679,0.594059405940594,0.5205013452675884,3468,872
5,0.5642201834862385,0.7214076246334311,0.49624251176722295,4340,872
6,0.5034403669724771,0.39944521497919555,0.5392346776754524,5212,872
7,0.47477064220183485,0.5053995680345572,0.4896610003695411,6084,872
8,0.5011467889908257,0.5182724252491694,0.5168101615646259,6956,872
9,0.49655963302752293,0.4936562860438293,0.5151259559154295,7828,872
10,0.5401376146788991,0.7014147431124349,0.5012521774120962,8700,872
11,0.46215596330275227,0.13627992633517497,0.4935277141159495,9572,872
12,0.5045871559633027,0.45864661654135336,0.5335524361259656,10444,872
13,0.5080275229357798,0.47102342786683105,0.5183955629859618,11316,872
14,0.48394495412844035,0.3323442136498516,0.5228025586081853,12188,872
15,0.5126146788990825,0.41379310344827586,0.5383450225339342,13060,872
16,0.5240825688073395,0.5786802030456852,0.532013292416936,13932,872
17,0.5217889908256881,0.5530546623794212,0.5102455070603338,14804,872
18,0.518348623853211,0.5434782608695652,0.5248005106926268,15676,872
19,0.5068807339449541,0.5792563600782779,0.5012380464480874,16548,872
20,0.463302752293578,0.4558139534883721,0.4563477443709387,17420,872
21,0.5481651376146789,0.6463195691202872,0.5301576494555895,18292,872
22,0.5389908256880734,0.62708719851577,0.5065892441797274,19164,872
23,0.5493119266055045,0.7091043671354552,0.5105207519907355,20036,872
24,0.5275229357798165,0.5838383838383838,0.5233204247610851,20908,872
25,0.5194954128440367,0.5746192893401015,0.5112145352304678,21780,872
