fold,acc,f1,auc,train_n,val_n
1,0.46559633027522934,0.3285302593659942,0.5056589996349032,852,872
2,0.4919724770642202,0.5028058361391695,0.48254686316332396,1724,872
3,0.5263761467889908,0.6032660902977905,0.5150841840116664,2596,872
4,0.551605504587156,0.6591107236268526,0.5299126011511586,3468,872
5,0.5068807339449541,0.5376344086021505,0.4927183948485042,4340,872
6,0.5,0.42021276595744683,0.5258214460862705,5212,872
7,0.5,0.5886792452830188,0.47948985880020367,6084,872
8,0.4954128440366973,0.4942528735632184,0.5077319587628866,6956,872
9,0.5206422018348624,0.5228310502283106,0.530491144301886,7828,872
10,0.5435779816513762,0.5938775510204082,0.5347896268292165,8700,872
11,0.5275229357798165,0.55119825708061,0.5434375590147571,9572,872
12,0.5172018348623854,0.6032045240339302,0.5064750683332007,10444,872
13,0.49770642201834864,0.54375,0.5020601882540103,11316,872
14,0.5229357798165137,0.5873015873015873,0.4947064229443231,12188,872
15,0.5217889908256881,0.537180910099889,0.5463501006036217,13060,872
16,0.5103211009174312,0.6049953746530989,0.4834623655913978,13932,872
17,0.5057339449541285,0.5579487179487179,0.5166207627118644,14804,872
18,0.5275229357798165,0.6321428571428571,0.5121396705559369,15676,872
19,0.5114678899082569,0.5266666666666666,0.5127746591396085,16548,872
20,0.5068807339449541,0.5691382765531062,0.49504643470517146,17420,872
21,0.48853211009174313,0.3573487031700288,0.5140708960771403,18292,872
22,0.4805045871559633,0.4400494437577256,0.491120218579235,19164,872
23,0.5309633027522935,0.4789808917197452,0.5460434322033898,20036,872
24,0.5309633027522935,0.579650565262076,0.5228687938880442,20908,872
25,0.46215596330275227,0.35488308115543327,0.4865715863475139,21780,872
mean,0.5097706422018349,0.5270256264251933,0.5111197294615695,,
std,0.021994543866148263,0.08790567701507515,0.020209632486018526,,
baseline,0.555846422338569,,,,
