fold,acc,f1,auc,train_n,val_n
1,0.5298165137614679,0.616822429906542,0.5156078860898138,852,872
2,0.5435779816513762,0.603585657370518,0.5344630279325406,1724,872
3,0.5412844036697247,0.6923076923076923,0.4881665119978788,2596,872
4,0.5389908256880734,0.6171428571428571,0.5287577257184122,3468,872
5,0.5688073394495413,0.6719022687609075,0.5288945393291968,4340,872
6,0.5447247706422018,0.6655433866891323,0.5117619778673319,5212,872
7,0.5240825688073395,0.591937069813176,0.5136671757361413,6084,872
8,0.555045871559633,0.711738484398217,0.4827655065178496,6956,872
9,0.5252293577981652,0.5972762645914397,0.5197159583348842,7828,872
10,0.5378440366972477,0.6699426699426699,0.5083230677739311,8700,872
11,0.5538990825688074,0.6498649864986499,0.5289772573987644,9572,872
12,0.5538990825688074,0.6572687224669603,0.5377278879070138,10444,872
13,0.5057339449541285,0.5477439664218258,0.5245233991780459,11316,872
14,0.5229357798165137,0.6104868913857678,0.5204359166414338,12188,872
15,0.5344036697247706,0.6133333333333333,0.5150744466800805,13060,872
16,0.5206422018348624,0.632688927943761,0.4901451612903226,13932,872
17,0.5401376146788991,0.6840031520882585,0.5184931144067797,14804,872
18,0.5493119266055045,0.6531332744924978,0.5289175102951269,15676,872
19,0.5447247706422018,0.6413730803974707,0.535080711296407,16548,872
20,0.5263761467889908,0.6561199000832639,0.5036071708754744,17420,872
21,0.5298165137614679,0.5665961945031712,0.537205573136801,18292,872
22,0.5091743119266054,0.5852713178294574,0.4988660134904372,19164,872
23,0.5194954128440367,0.5943852855759922,0.5150768008474577,20036,872
24,0.5263761467889908,0.6100094428706326,0.5161180269385957,20908,872
25,0.5114678899082569,0.5515789473684211,0.5173629547819807,21780,872
