fold,acc,f1,auc,train_n,val_n
1,0.6180257510729614,0.7464387464387464,0.5541165587419057,213,233
2,0.6094420600858369,0.7547169811320755,0.5052059052059051,446,233
3,0.5236051502145923,0.6873239436619718,0.5083444099837543,679,233
4,0.48068669527896996,0.6492753623188405,0.5084858323494686,912,233
5,0.5665236051502146,0.7106017191977078,0.4597019464720195,1145,233
6,0.5536480686695279,0.6976744186046512,0.541203007518797,1378,233
7,0.5708154506437768,0.7109826589595376,0.5525297619047619,1611,233
8,0.5236051502145923,0.6384364820846905,0.4910172832019406,1844,233
9,0.5579399141630901,0.6308243727598566,0.5955164249778041,2077,233
10,0.5536480686695279,0.7011494252873564,0.4864279197080291,2310,233
11,0.5278969957081545,0.5955882352941176,0.517963625521765,2543,233
12,0.5450643776824035,0.6490066225165563,0.5352886550069649,2776,233
13,0.5321888412017167,0.6840579710144927,0.45583012725658484,3009,233
14,0.5536480686695279,0.6176470588235294,0.5471129202472487,3242,233
15,0.51931330472103,0.5692307692307692,0.5199852507374632,3475,233
16,0.5364806866952789,0.6447368421052632,0.5263157894736841,3708,233
17,0.5236051502145923,0.6430868167202572,0.5176087599881621,3941,233
18,0.5450643776824035,0.6293706293706294,0.522209903917221,4174,233
19,0.5793991416309013,0.6573426573426573,0.5569151324651999,4407,233
20,0.5364806866952789,0.6582278481012658,0.4763794406651549,4640,233
21,0.6051502145922747,0.6666666666666666,0.5868708308065494,4873,233
22,0.6008583690987125,0.6204081632653061,0.6123396727111897,5106,233
