fold,acc,f1,auc,train_n,val_n
1,0.4939759036144578,0.475,0.4929577464788733,146,166
2,0.4759036144578313,0.6133333333333333,0.45947712418300646,312,166
3,0.5481927710843374,0.5714285714285714,0.5772573280306379,478,166
4,0.5421686746987951,0.6082474226804123,0.5947856827220505,644,166
5,0.5180722891566265,0.47368421052631576,0.4927979048450458,810,166
6,0.4397590361445783,0.2900763358778626,0.4539434523809524,976,166
7,0.46987951807228917,0.42857142857142855,0.4633198864485283,1142,166
8,0.5481927710843374,0.6031746031746031,0.5365909090909091,1308,166
9,0.5542168674698795,0.6021505376344086,0.5462719298245614,1474,166
10,0.5421686746987951,0.6274509803921569,0.5200732600732602,1640,166
11,0.536144578313253,0.5837837837837838,0.5350000000000001,1806,166
12,0.4939759036144578,0.48148148148148145,0.5221496005809731,1972,166
13,0.5180722891566265,0.574468085106383,0.4883274231678487,2138,166
14,0.5542168674698795,0.6754385964912281,0.5425641025641026,2304,166
15,0.5240963855421686,0.5948717948717949,0.5402930402930404,2470,166
16,0.5180722891566265,0.5876288659793815,0.5612580307784252,2636,166
17,0.4879518072289157,0.49101796407185627,0.5333187836461517,2802,166
18,0.572289156626506,0.5644171779141104,0.5876453488372093,2968,166
19,0.4819277108433735,0.6018518518518519,0.4784663865546218,3134,166
20,0.572289156626506,0.6243386243386243,0.582486375018412,3300,166
21,0.4759036144578313,0.583732057416268,0.5013186813186813,3466,166
22,0.5060240963855421,0.36923076923076925,0.5188238727564569,3632,166
