fold,acc,f1,auc,train_n,val_n
1,0.5657894736842105,0.7226890756302521,0.5267794221282593,132,152
2,0.5723684210526315,0.6889952153110048,0.558974358974359,284,152
3,0.5657894736842105,0.5769230769230769,0.5591649341649343,436,152
4,0.5460526315789473,0.5964912280701754,0.5316201931838892,588,152
5,0.5394736842105263,0.6759259259259259,0.4434027777777778,740,152
6,0.5526315789473685,0.6222222222222222,0.5563636363636363,892,152
7,0.506578947368421,0.6073298429319371,0.4584723441615452,1044,152
8,0.5986842105263158,0.659217877094972,0.5480106100795756,1196,152
9,0.48026315789473684,0.5269461077844312,0.4732963412519508,1348,152
10,0.5394736842105263,0.5394736842105263,0.5630630630630631,1500,152
11,0.4868421052631579,0.5125,0.5232537577365164,1652,152
12,0.4144736842105263,0.31007751937984496,0.48894239343677554,1804,152
13,0.5394736842105263,0.6067415730337079,0.5589488636363636,1956,152
14,0.5855263157894737,0.5882352941176471,0.6138888888888888,2108,152
15,0.5460526315789473,0.543046357615894,0.5726075504828797,2260,152
16,0.5328947368421053,0.5534591194968553,0.5342857142857143,2412,152
17,0.4934210526315789,0.5032258064516129,0.5109132180897503,2564,152
18,0.5,0.5128205128205128,0.5041666666666667,2716,152
19,0.40789473684210525,0.18181818181818182,0.5120139398385913,2868,152
20,0.506578947368421,0.5614035087719298,0.5035511363636364,3020,152
21,0.5460526315789473,0.6270270270270271,0.5532272325375773,3172,152
22,0.5394736842105263,0.5833333333333334,0.5497227997227998,3324,152
