fold,acc,f1,auc,train_n,val_n
1,0.583941605839416,0.6503067484662577,0.5630053908355795,117,137
2,0.5547445255474452,0.7136150234741784,0.4556729939603106,254,137
3,0.5985401459854015,0.7488584474885844,0.5317073170731708,391,137
4,0.5547445255474452,0.5850340136054422,0.5675618073316283,528,137
5,0.5693430656934306,0.6549707602339181,0.5853070175438597,665,137
6,0.583941605839416,0.7298578199052133,0.5792682926829268,802,137
7,0.5766423357664233,0.7040816326530612,0.5262929161234245,939,137
8,0.4744525547445255,0.6435643564356436,0.5440170940170941,1076,137
9,0.5474452554744526,0.6265060240963856,0.5602564102564103,1213,137
10,0.5109489051094891,0.6256983240223464,0.5136363636363636,1350,137
11,0.5620437956204379,0.6938775510204082,0.5214037375054326,1487,137
12,0.5036496350364964,0.6046511627906976,0.5585287846481876,1624,137
13,0.5255474452554745,0.5695364238410596,0.5789247311827957,1761,137
14,0.44525547445255476,0.3333333333333333,0.45907900480139674,1898,137
15,0.5036496350364964,0.43333333333333335,0.6104321257092973,2035,137
16,0.5474452554744526,0.5507246376811594,0.5546807592752373,2172,137
17,0.39416058394160586,0.25225225225225223,0.3934829059829059,2309,137
18,0.5766423357664233,0.6847826086956522,0.5337719298245613,2446,137
19,0.5401459854014599,0.6181818181818182,0.5381578947368422,2583,137
20,0.5036496350364964,0.569620253164557,0.4893390191897655,2720,137
21,0.6204379562043796,0.6338028169014085,0.6696696696696697,2857,137
