fold,acc,f1,auc,train_n,val_n
1,0.5460992907801419,0.5704697986577181,0.5745764421137556,262,282
2,0.40425531914893614,0.2,0.48245797769283133,544,282
3,0.5567375886524822,0.5247148288973384,0.586654713114754,826,282
4,0.5460992907801419,0.6384180790960452,0.5367388535031847,1108,282
5,0.5035460992907801,0.5977011494252874,0.5,1390,282
6,0.5921985815602837,0.6461538461538462,0.6048668032786885,1672,282
7,0.5390070921985816,0.675,0.4965623578181083,1954,282
8,0.549645390070922,0.687960687960688,0.5428622760638571,2236,282
9,0.5567375886524822,0.7099767981438515,0.5537973075946152,2518,282
10,0.5921985815602837,0.7331786542923434,0.5286713286713287,2800,282
11,0.5709219858156028,0.6982543640897756,0.5453805453805454,3082,282
12,0.5141843971631206,0.6028985507246377,0.5423784328546233,3364,282
13,0.5602836879432624,0.581081081081081,0.5727777777777778,3646,282
14,0.5319148936170213,0.6716417910447762,0.5017424242424242,3928,282
15,0.5638297872340425,0.6495726495726496,0.5431420431420432,4210,282
16,0.5319148936170213,0.5629139072847682,0.557085020242915,4492,282
17,0.5212765957446809,0.5820433436532507,0.5359223792876323,4774,282
18,0.48936170212765956,0.6129032258064516,0.4838644614764017,5056,282
19,0.5673758865248227,0.6013071895424836,0.5470271915584416,5338,282
20,0.5425531914893617,0.60790273556231,0.5268224536449073,5620,282
21,0.5319148936170213,0.5416666666666666,0.5402659117334817,5902,282
22,0.5106382978723404,0.5714285714285714,0.5170222539812168,6184,282
