fold,acc,f1,auc,train_n,val_n
1,0.52,0.5714285714285714,0.5606617647058824,30,50
2,0.6,0.7297297297297297,0.535,80,50
3,0.64,0.7096774193548387,0.6747181964573269,130,50
4,0.56,0.717948717948718,0.4383116883116883,180,50
5,0.52,0.6842105263157895,0.5360576923076923,230,50
6,0.6,0.75,0.40166666666666667,280,50
7,0.56,0.717948717948718,0.47240259740259744,330,50
8,0.62,0.7397260273972602,0.5616666666666666,380,50
9,0.52,0.6842105263157895,0.4254807692307693,430,50
10,0.44,0.6,0.4885057471264368,480,50
11,0.54,0.6349206349206349,0.5764895330112723,530,50
12,0.6,0.7142857142857143,0.6522435897435898,580,50
13,0.58,0.6557377049180327,0.6087662337662337,630,50
14,0.54,0.6101694915254238,0.5901771336553945,680,50
15,0.66,0.6792452830188679,0.7045454545454546,730,50
16,0.62,0.7246376811594203,0.5925297113752122,780,50
17,0.48,0.6486486486486487,0.3846153846153846,830,50
18,0.4,0.5,0.6007130124777185,880,50
19,0.54,0.6349206349206349,0.5222816399286988,930,50
20,0.46,0.5714285714285714,0.44886363636363635,980,50
