fold,acc,f1,auc,train_n,val_n
1,0.5901639344262295,0.7311827956989247,0.5660798413091992,163,183
2,0.5683060109289617,0.7063197026022305,0.5746575342465753,346,183
3,0.5300546448087432,0.6928571428571428,0.5103092783505154,529,183
4,0.44808743169398907,0.6070038910505836,0.5300774630839991,712,183
5,0.5136612021857924,0.47953216374269003,0.570353982300885,895,183
6,0.546448087431694,0.6891385767790262,0.5001207437816952,1078,183
7,0.5355191256830601,0.6840148698884758,0.4805602511470659,1261,183
8,0.4098360655737705,0.0847457627118644,0.5293897882938979,1444,183
9,0.5027322404371585,0.5333333333333333,0.5550227763126347,1627,183
10,0.5573770491803278,0.6232558139534884,0.5378750614854894,1810,183
11,0.5573770491803278,0.5621621621621622,0.5161270691333982,1993,183
12,0.5573770491803278,0.6267281105990783,0.5492384453781513,2176,183
13,0.5355191256830601,0.5728643216080402,0.550956184943113,2359,183
14,0.5300546448087432,0.57,0.5502442002442002,2542,183
15,0.5683060109289617,0.6183574879227053,0.5487308429118773,2725,183
16,0.4918032786885246,0.5026737967914439,0.5036143102180838,2908,183
17,0.5792349726775956,0.6577777777777778,0.5424414392658778,3091,183
18,0.5245901639344263,0.5915492957746479,0.5111492281303602,3274,183
19,0.5136612021857924,0.5972850678733032,0.5071084337349397,3457,183
20,0.5409836065573771,0.5578947368421052,0.5216041869522882,3640,183
21,0.5519125683060109,0.6203703703703703,0.5407874420998456,3823,183
22,0.5628415300546448,0.5604395604395604,0.5704665704665705,4006,183
