fold,acc,f1,auc,train_n,val_n
1,0.4117647058823529,0.0,0.27142857142857146,14,34
2,0.5588235294117647,0.5454545454545454,0.5642857142857143,48,34
3,0.5294117647058824,0.6923076923076923,0.4513888888888889,82,34
4,0.47058823529411764,0.25,0.44636678200692037,116,34
5,0.4411764705882353,0.3448275862068966,0.43214285714285716,150,34
6,0.5,0.0,0.3529411764705882,184,34
7,0.6470588235294118,0.625,0.736842105263158,218,34
8,0.5294117647058824,0.5789473684210527,0.6086956521739131,252,34
9,0.5882352941176471,0.5625,0.6245614035087719,286,34
10,0.5,0.37037037037037035,0.4928571428571429,320,34
11,0.5294117647058824,0.6363636363636364,0.5104166666666666,354,34
12,0.4411764705882353,0.4864864864864865,0.48023715415019763,388,34
13,0.5588235294117647,0.5945945945945946,0.6180555555555556,422,34
14,0.6470588235294118,0.7,0.6232638888888888,456,34
15,0.5294117647058824,0.5555555555555556,0.5017543859649123,490,34
16,0.35294117647058826,0.47619047619047616,0.32698961937716264,524,34
17,0.6176470588235294,0.723404255319149,0.5530303030303031,558,34
18,0.5588235294117647,0.5945945945945946,0.6280276816608996,592,34
19,0.6176470588235294,0.7111111111111111,0.6035714285714285,626,34
20,0.5294117647058824,0.5789473684210527,0.3944636678200692,660,34
