fold,acc,f1,auc,train_n,val_n
1,0.5572519083969466,0.6375,0.5734945471787577,111,131
2,0.5190839694656488,0.5882352941176471,0.5366993922393641,242,131
3,0.5419847328244275,0.47368421052631576,0.5838028169014085,373,131
4,0.5954198473282443,0.6708074534161491,0.6151411879259981,504,131
5,0.549618320610687,0.4158415841584158,0.5315568022440393,635,131
6,0.5190839694656488,0.5116279069767442,0.4991421568627451,766,131
7,0.4961832061068702,0.56,0.5249382716049382,897,131
8,0.5190839694656488,0.5771812080536913,0.5174362674362675,1028,131
9,0.549618320610687,0.6974358974358974,0.505868544600939,1159,131
10,0.5190839694656488,0.5882352941176471,0.527077497665733,1290,131
11,0.5267175572519084,0.5694444444444444,0.5454006638217164,1421,131
12,0.4198473282442748,0.5421686746987951,0.47065727699530524,1552,131
13,0.4122137404580153,0.18947368421052632,0.4018987341772152,1683,131
14,0.549618320610687,0.48695652173913045,0.583255269320843,1814,131
15,0.5419847328244275,0.5161290322580645,0.5723870056497176,1945,131
16,0.549618320610687,0.549618320610687,0.5691333982473222,2076,131
17,0.5343511450381679,0.5343511450381679,0.5470354808590103,2207,131
18,0.48854961832061067,0.4369747899159664,0.5457089552238805,2338,131
19,0.5419847328244275,0.5454545454545454,0.5585585585585585,2469,131
20,0.46564885496183206,0.3269230769230769,0.5349382716049382,2600,131
21,0.5038167938931297,0.6060606060606061,0.5105500237079185,2731,131
