fold,acc,f1,auc,train_n,val_n
1,0.6451612903225806,0.6451612903225806,0.6854166666666668,11,31
2,0.41935483870967744,0.0,0.5726495726495726,42,31
3,0.3225806451612903,0.0,0.6,73,31
4,0.45161290322580644,0.6046511627906976,0.634453781512605,104,31
5,0.7096774193548387,0.7804878048780488,0.6181818181818182,135,31
6,0.5161290322580645,0.2857142857142857,0.4318181818181819,166,31
7,0.7096774193548387,0.6086956521739131,0.6354166666666667,197,31
8,0.5806451612903226,0.5806451612903226,0.6291666666666667,228,31
9,0.5806451612903226,0.6060606060606061,0.55,259,31
10,0.4838709677419355,0.4666666666666667,0.45798319327731096,290,31
11,0.5483870967741935,0.5882352941176471,0.68125,321,31
12,0.2903225806451613,0.3125,0.32954545454545453,352,31
13,0.6451612903225806,0.6206896551724138,0.6764705882352942,383,31
14,0.5161290322580645,0.5945945945945946,0.5020833333333333,414,31
15,0.5806451612903226,0.48,0.6666666666666667,445,31
16,0.4838709677419355,0.4666666666666667,0.4666666666666667,476,31
17,0.41935483870967744,0.5,0.4270833333333333,507,31
18,0.4838709677419355,0.38461538461538464,0.46794871794871795,538,31
19,0.45161290322580644,0.37037037037037035,0.39743589743589747,569,31
20,0.5161290322580645,0.5454545454545454,0.6096491228070176,600,31
