fold,acc,f1,auc,train_n,val_n
1,0.5702479338842975,0.7111111111111111,0.6198879551820728,101,121
2,0.5371900826446281,0.6853932584269663,0.5480769230769231,222,121
3,0.4628099173553719,0.6242774566473989,0.4939192924267551,343,121
4,0.5289256198347108,0.5899280575539568,0.5802833530106257,464,121
5,0.5289256198347108,0.5714285714285714,0.5472677595628416,585,121
6,0.6033057851239669,0.6521739130434783,0.5945723684210528,706,121
7,0.4793388429752066,0.5827814569536424,0.4634453781512605,827,121
8,0.5289256198347108,0.6122448979591837,0.5008503401360545,948,121
9,0.45454545454545453,0.42105263157894735,0.4463114754098361,1069,121
10,0.512396694214876,0.5354330708661418,0.4871900826446281,1190,121
11,0.4462809917355372,0.3963963963963964,0.513681592039801,1311,121
12,0.5454545454545454,0.5864661654135338,0.5694677871148459,1432,121
13,0.5702479338842975,0.6578947368421053,0.5350776308223116,1553,121
14,0.5867768595041323,0.6031746031746031,0.5755336617405583,1674,121
15,0.6033057851239669,0.6363636363636364,0.5986394557823129,1795,121
16,0.5867768595041323,0.5689655172413793,0.6134868421052632,1916,121
17,0.47107438016528924,0.3191489361702128,0.4293478260869565,2037,121
18,0.371900826446281,0.15555555555555556,0.48583484026522,2158,121
19,0.5454545454545454,0.5864661654135338,0.5363714778608396,2279,121
20,0.48760330578512395,0.5507246376811594,0.5174647887323944,2400,121
21,0.4462809917355372,0.524822695035461,0.4085915492957746,2521,121
