fold,acc,f1,auc,train_n,val_n
1,0.4666666666666667,0.6363636363636364,0.4263392857142857,10,30
2,0.43333333333333335,0.0,0.5384615384615384,40,30
3,0.5333333333333333,0.5333333333333333,0.595,70,30
4,0.5,0.5714285714285714,0.5656108597285068,100,30
5,0.6,0.7,0.6203703703703703,130,30
6,0.5666666666666667,0.723404255319149,0.5950226244343891,160,30
7,0.5333333333333333,0.6956521739130435,0.7321428571428571,190,30
8,0.5,0.6666666666666666,0.54,220,30
9,0.36666666666666664,0.5365853658536586,0.47607655502392343,250,30
10,0.5666666666666667,0.723404255319149,0.5972850678733032,280,30
11,0.6,0.6470588235294118,0.7098214285714286,310,30
12,0.5666666666666667,0.6060606060606061,0.6294642857142857,340,30
13,0.5,0.6511627906976745,0.7044444444444444,370,30
14,0.43333333333333335,0.6046511627906976,0.4751131221719457,400,30
15,0.7333333333333333,0.7647058823529411,0.7422222222222222,430,30
16,0.5666666666666667,0.5806451612903226,0.6473214285714286,460,30
17,0.5,0.5945945945945946,0.6312217194570136,490,30
18,0.4666666666666667,0.4666666666666667,0.39366515837104077,520,30
