fold,acc,f1,auc,train_n,val_n
1,0.5185185185185185,0.6231884057971014,0.5169753086419754,88,108
2,0.5185185185185185,0.6829268292682927,0.501717032967033,196,108
3,0.6111111111111112,0.7586206896551724,0.4990981240981241,304,108
4,0.5462962962962963,0.608,0.5789473684210527,412,108
5,0.5462962962962963,0.6259541984732825,0.5326086956521741,520,108
6,0.5648148148148148,0.5765765765765766,0.5851851851851851,628,108
7,0.5555555555555556,0.6065573770491803,0.5617897727272727,736,108
8,0.5,0.47058823529411764,0.5191975095122795,844,108
9,0.4722222222222222,0.37362637362637363,0.5475105189340813,952,108
10,0.48148148148148145,0.5882352941176471,0.47247869318181823,1060,108
11,0.5833333333333334,0.7058823529411765,0.5365079365079364,1168,108
12,0.4722222222222222,0.41237113402061853,0.5357638888888888,1276,108
13,0.5740740740740741,0.6515151515151515,0.5735241502683364,1384,108
14,0.42592592592592593,0.225,0.4345679012345679,1492,108
15,0.4722222222222222,0.43564356435643564,0.48556998556998554,1600,108
16,0.5648148148148148,0.6115702479338843,0.5992286115007012,1708,108
17,0.49074074074074076,0.45544554455445546,0.5270037839697282,1816,108
18,0.5555555555555556,0.6923076923076923,0.5614346590909092,1924,108
19,0.49074074074074076,0.5736434108527132,0.43626904496469715,2032,108
20,0.5277777777777778,0.5233644859813084,0.546639231824417,2140,108
21,0.5833333333333334,0.6341463414634146,0.5692307692307692,2248,108
