fold,acc,f1,auc,train_n,val_n
1,0.5254237288135594,0.3,0.5967365967365966,39,59
2,0.5254237288135594,0.44,0.46428571428571425,98,59
3,0.6101694915254238,0.0,0.48309178743961345,157,59
4,0.4067796610169492,0.0,0.47857142857142854,216,59
5,0.4915254237288136,0.0,0.5005747126436781,275,59
6,0.4915254237288136,0.0,0.5522988505747126,334,59
7,0.576271186440678,0.24242424242424243,0.5396551724137931,393,59
8,0.4067796610169492,0.0,0.444047619047619,452,59
9,0.5423728813559322,0.0,0.6383101851851852,511,59
10,0.559322033898305,0.5,0.703962703962704,570,59
11,0.6101694915254238,0.6567164179104478,0.7027972027972028,629,59
12,0.5423728813559322,0.509090909090909,0.6130536130536131,688,59
13,0.6101694915254238,0.43902439024390244,0.587995337995338,747,59
14,0.3898305084745763,0.0,0.5495169082125604,806,59
15,0.3389830508474576,0.0,0.5044871794871795,865,59
16,0.5254237288135594,0.48148148148148145,0.571764705882353,924,59
17,0.5423728813559322,0.5423728813559322,0.5345238095238095,983,59
18,0.4745762711864407,0.41509433962264153,0.5314685314685315,1042,59
19,0.4745762711864407,0.41509433962264153,0.5211764705882354,1101,59
20,0.4915254237288136,0.4444444444444444,0.5460829493087557,1160,59
21,0.423728813559322,0.2916666666666667,0.49137931034482757,1219,59
