fold,acc,f1,auc,train_n,val_n
1,0.5315315315315315,0.5185185185185185,0.5518790849673203,202,222
2,0.38738738738738737,0.18072289156626506,0.5135452961672473,424,222
3,0.5990990990990991,0.6941580756013745,0.5404411764705882,646,222
4,0.5495495495495496,0.7093023255813954,0.5723360655737705,868,222
5,0.6261261261261262,0.7675070028011205,0.5235968829349444,1090,222
6,0.5765765765765766,0.6987179487179487,0.5296708776595744,1312,222
7,0.545045045045045,0.7020648967551623,0.48942622950819675,1534,222
8,0.5495495495495496,0.6753246753246753,0.523340206185567,1756,222
9,0.5405405405405406,0.6832298136645962,0.5334845360824743,1978,222
10,0.5945945945945946,0.7305389221556886,0.49577759197324417,2200,222
11,0.5945945945945946,0.7289156626506024,0.5050309278350515,2422,222
12,0.5765765765765766,0.6987179487179487,0.5954098360655737,2644,222
13,0.545045045045045,0.6353790613718412,0.5395819618169848,2866,222
14,0.4864864864864865,0.6545454545454545,0.5181530214424951,3088,222
15,0.5495495495495496,0.6031746031746031,0.5914276401564538,3310,222
16,0.545045045045045,0.6007905138339921,0.5625559625559625,3532,222
17,0.5495495495495496,0.6815286624203821,0.5959859672024149,3754,222
18,0.5540540540540541,0.7113702623906706,0.47864549045424615,3976,222
19,0.527027027027027,0.5414847161572053,0.5455433455433455,4198,222
20,0.5135135135135135,0.578125,0.5187216494845361,4420,222
21,0.536036036036036,0.5726141078838174,0.5529661016949152,4642,222
22,0.545045045045045,0.61003861003861,0.5201306216931217,4864,222
