fold,acc,f1,auc,train_n,val_n
1,0.5481651376146789,0.6632478632478632,0.511275657658798,416,436
2,0.5481651376146789,0.6609294320137694,0.5180359642511038,852,436
3,0.47477064220183485,0.24918032786885247,0.44669612794612795,1288,436
4,0.4701834862385321,0.5010799136069114,0.46172183195156424,1724,436
5,0.5252293577981652,0.588469184890656,0.5074550566584306,2160,436
6,0.536697247706422,0.6327272727272727,0.5229312597733651,2596,436
7,0.5275229357798165,0.49261083743842365,0.5310881928528988,3032,436
8,0.49770642201834864,0.4918793503480278,0.5107795423497268,3468,436
9,0.5275229357798165,0.5863453815261044,0.519996601745853,3904,436
10,0.5275229357798165,0.6199261992619927,0.5426782714918308,4340,436
11,0.5022935779816514,0.46943765281173594,0.5218073489811929,4776,436
12,0.5045871559633027,0.5462184873949579,0.4851750873306637,5212,436
13,0.5642201834862385,0.610655737704918,0.5352281226626776,5648,436
14,0.46788990825688076,0.4889867841409692,0.4816600471507763,6084,436
15,0.48623853211009177,0.5274261603375527,0.47855181880576525,6520,436
16,0.5389908256880734,0.593939393939394,0.5319066898014267,6956,436
17,0.5688073394495413,0.6736111111111112,0.5317237150891139,7392,436
18,0.5114678899082569,0.5191873589164786,0.5042805330634278,7828,436
19,0.5137614678899083,0.49523809523809526,0.4877427771815752,8264,436
20,0.5137614678899083,0.4619289340101523,0.5234900744678607,8700,436
21,0.5596330275229358,0.4482758620689655,0.5678833038646123,9136,436
22,0.4426605504587156,0.25688073394495414,0.4877933057280883,9572,436
23,0.5137614678899083,0.49282296650717705,0.5233016461859495,10008,436
