fold,acc,f1,auc,train_n,val_n
1,0.5412844036697247,0.5391705069124424,0.511897981140434,416,436
2,0.5091743119266054,0.5367965367965368,0.52436739528373,852,436
3,0.573394495412844,0.5974025974025974,0.5834175084175084,1288,436
4,0.5252293577981652,0.5059665871121718,0.5396071978566758,1724,436
5,0.48394495412844035,0.4155844155844156,0.5179773366277584,2160,436
6,0.49311926605504586,0.454320987654321,0.5223743118479961,2596,436
7,0.5206422018348624,0.4939467312348668,0.5290510143451319,3032,436
8,0.5435779816513762,0.5626373626373626,0.5541325136612022,3468,436
9,0.5229357798165137,0.5398230088495575,0.5464392668266678,3904,436
10,0.5137614678899083,0.5619834710743802,0.5490914643457017,4340,436
11,0.5137614678899083,0.5984848484848485,0.5100184466636983,4776,436
12,0.5275229357798165,0.582995951417004,0.5459231490159325,5212,436
13,0.5504587155963303,0.7065868263473054,0.5131103750400684,5648,436
14,0.5389908256880734,0.6492146596858639,0.536127689399571,6084,436
15,0.5412844036697247,0.6932515337423313,0.4904019389155799,6520,436
16,0.5435779816513762,0.6856240126382307,0.4857228541439068,6956,436
17,0.518348623853211,0.5945945945945946,0.5312163047844563,7392,436
18,0.555045871559633,0.6353383458646616,0.5518197537112011,7828,436
19,0.49311926605504586,0.6247877758913413,0.502167371588494,8264,436
20,0.5068807339449541,0.6581875993640699,0.5030483302744552,8700,436
21,0.4954128440366973,0.5397489539748954,0.5233434368948389,9136,436
22,0.5160550458715596,0.5576519916142557,0.52930900621118,9572,436
23,0.518348623853211,0.5714285714285714,0.5515460658052821,10008,436
